model,slug,product_name,category,current_plan,current_months,current_price,current_promo,pdf_plan,pdf_months,pdf_price,pdf_promo,difference,status,source_pdf,source_page,confidence,notes
WD110MN,wd110mn,เครื่องกรองน้ำ LG PuriCare รุ่น WD110MN,เครื่องกรองน้ำ,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,549,บิลแรก ฿149 + โปร 50% เดือน 2-12,Visit 5Y | ทุก 6 เดือน,60,549,บิลแรก ฿149 + ลด 50% รอบบิล 2-12,0,MATCH,Price list_Aug_V3.pdf,4,high,Verified by rendered page because vector table extraction returned no table. | PDF policy: VISIT_5Y_6M_PRO_149(1M)_DC50%(11M)
WD110MN,wd110mn,เครื่องกรองน้ำ LG PuriCare รุ่น WD110MN,เครื่องกรองน้ำ,Self 5 ปี (60 เดือน) | ไม่มีบริการ,60,499,บิลแรก ฿149 + โปร 50% เดือน 2-12,Self 5Y | ทุก 6 เดือน,60,499,บิลแรก ฿149 + ลด 50% รอบบิล 2-12,0,MATCH,Price list_Aug_V3.pdf,4,high,Verified by rendered page because vector table extraction returned no table. | PDF policy: SELF_5Y_6M_PRO_149(1M)_DC50%(11M)
WD110MN,wd110mn,เครื่องกรองน้ำ LG PuriCare รุ่น WD110MN,เครื่องกรองน้ำ,Visit 7 ปี (84 เดือน) | ไม่มีบริการ,84,449,บิลแรก ฿149 + โปร 50% เดือน 2-12,Visit 7Y | ทุก 6 เดือน,84,449,บิลแรก ฿149 + ลด 50% รอบบิล 2-12,0,MATCH,Price list_Aug_V3.pdf,4,high,Verified by rendered page because vector table extraction returned no table. | PDF policy: VISIT_7Y_6M_PRO_149(1M)_DC50%(11M)
WD110MN,wd110mn,เครื่องกรองน้ำ LG PuriCare รุ่น WD110MN,เครื่องกรองน้ำ,Self 7 ปี (84 เดือน) | ไม่มีบริการ,84,399,บิลแรก ฿149 + โปร 50% เดือน 2-12,Self 7Y | ทุก 6 เดือน,84,399,บิลแรก ฿149 + ลด 50% รอบบิล 2-12,0,MATCH,Price list_Aug_V3.pdf,4,high,Verified by rendered page because vector table extraction returned no table. | PDF policy: SELF_7Y_6M_PRO_149(1M)_DC50%(11M)
A9T-ULTRA,a9t-ultra,เครื่องดูดฝุ่น LG CordZero™ รุ่น A9T-ULTRA แบบด้ามจับ All-in-One Tower พร้อม Smart WI-FI control,เครื่องดูดฝุ่น,Self 5 ปี (60 เดือน) | ไม่มีบริการ,60,749,บิลแรก ฿149 + โปร 50% เดือน 2-3,Self 5Y | ทุกๆ 12 เดอื น,60,749,•ราคา 149.-(1 รอบบลิ แรก) •ลด 50% 2 เดอื น (รอบบลิ ท ่ี2-3),0,MATCH,Price list_Aug_V3.pdf,5,high,PDF policy: SELF_5Y_12M_PRO_149(1M)_DC50%(2M)
A9T-CORE,a9t-core,เครื่องดูดฝุ่น LG CordZero™ รุ่น A9T-CORE แบบด้ามจับ All-in-One Tower,เครื่องดูดฝุ่น,Self 5 ปี (60 เดือน) | ไม่มีบริการ,60,649,บิลแรก ฿149,Self 5Y | ทุกๆ 12 เดอื น,60,649,•ราคา 149.-(1 รอบบลิ แรก),0,MATCH,Price list_Aug_V3.pdf,5,high,PDF policy: SELF_5Y_12M_PRO_149(1M)
A9T-LITE,a9t-lite,เครื่องดูดฝุ่น LG CordZero™ รุ่น A9T-LITE แบบด้ามจับ All-in-One Tower,เครื่องดูดฝุ่น,Self 5 ปี (60 เดือน) | ไม่มีบริการ,60,549,บิลแรก ฿149,Self 5Y | ทุกๆ 12 เดอื น,60,549,•ราคา 149.-(1 รอบบลิ แรก),0,MATCH,Price list_Aug_V3.pdf,5,high,PDF policy: SELF_5Y_12M_PRO_149(1M)
GC-L257KQKW,gc-l257kqkw,ตู้เย็น Side by Side GC-L257KQKW 22.4 คิว,ตู้เย็น Side by Side,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,749,โปร 50% เดือน 1-3,Visit 5Y | ทุกๆ24 เดอื น,60,749,Disc.50% (3 รอบบิล),0,MATCH,Sale Price8 - Subscription_V3.pdf,2,high,PDF policy: VISIT_5Y_24M
GC-L257KQKW,gc-l257kqkw,ตู้เย็น Side by Side GC-L257KQKW 22.4 คิว,ตู้เย็น Side by Side,Visit 6 ปี (72 เดือน) | ไม่มีบริการ,72,649,โปร 50% เดือน 1-3,Visit 6Y | ทุกๆ24 เดอื น,72,649,Disc.50% (3 รอบบิล),0,MATCH,Sale Price8 - Subscription_V3.pdf,2,high,PDF policy: VISIT_6Y_24M
GC-B257SQYL,gc-b257sqyl,ตู้เย็น Side by Side GC-B257SQYL 22.9 คิว,ตู้เย็น Side by Side,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,549,บิลแรก ฿149,Visit 5Y | ทุกๆ24 เดอื น,60,549,Promotion Aug 149 (1st Billing),0,MATCH,Sale Price8 - Subscription_V3.pdf,3,high,PDF policy: VISIT_5Y_24M
GC-B257SQYL,gc-b257sqyl,ตู้เย็น Side by Side GC-B257SQYL 22.9 คิว,ตู้เย็น Side by Side,Visit 6 ปี (72 เดือน) | ไม่มีบริการ,72,449,บิลแรก ฿149,Visit 6Y | ทุกๆ24 เดอื น,72,449,Promotion Aug 149 (1st Billing),0,MATCH,Sale Price8 - Subscription_V3.pdf,3,high,PDF policy: VISIT_6Y_24M
GC-X257CMHW,gc-x257cmhw,ตู้เย็น Side by Side ขนาด 22.4 คิว ระบบ Inverter Compressor,ตู้เย็น Side by Side,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,1449,บิลแรก ฿149,Visit 5Y | ทุกๆ6 เดอื น,60,1449,ราคา 149.-(1รอบบลิ แรก),0,MATCH,Price list_Aug_V3.pdf,7,high,PDF policy: VISIT_5Y_6M_PRO_149(1M)_ADD_ WATERFILTER
GC-X257CMHW,gc-x257cmhw,ตู้เย็น Side by Side ขนาด 22.4 คิว ระบบ Inverter Compressor,ตู้เย็น Side by Side,Visit 6 ปี (72 เดือน) | ไม่มีบริการ,72,1249,บิลแรก ฿149,Visit 6Y | ทุกๆ6 เดอื น,72,1249,ราคา 149.-(1รอบบลิ แรก),0,MATCH,Price list_Aug_V3.pdf,7,high,PDF policy: VISIT_6Y_6M_PRO_149(1M)_ADD_ WATERFILTER
GC-L257SFZW,gc-l257sfzw,ตู้เย็น Side-by-Side 22.4 คิว รองรับ Smart Wi-Fi,ตู้เย็น Side by Side,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,849,บิลแรก ฿149,Visit 5Y | ทุกๆ24 เดอื น,60,849,ราคา 149.-(1รอบบลิ แรก),0,MATCH,Price list_Aug_V3.pdf,7,high,PDF policy: VISIT_5Y_24M_PRO_149(1M)
GC-L257SFZW,gc-l257sfzw,ตู้เย็น Side-by-Side 22.4 คิว รองรับ Smart Wi-Fi,ตู้เย็น Side by Side,Visit 6 ปี (72 เดือน) | ไม่มีบริการ,72,749,บิลแรก ฿149,Visit 6Y | ทุกๆ24 เดอื น,72,749,ราคา 149.-(1รอบบลิ แรก),0,MATCH,Price list_Aug_V3.pdf,7,high,PDF policy: VISIT_6Y_24M_PRO_149(1M)
GC-X257CMEW,gc-x257cmew,ตู้เย็น InstaView Side by Side 22.4 คิว GC-X257CMEW Smart Inverter Compressor™,ตู้เย็น Side by Side,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,1249,บิลแรก ฿149 + โปร 50% เดือน 2-8,Visit 5Y | ทุกๆ24 เดอื น,60,1249,•ราคา 149.-(1รอบบลิ แรก) •ลด 50% 7 เดอื น (รอบบลิ ท ่ี2-8),0,MATCH,Price list_Aug_V3.pdf,8,high,PDF policy: VISIT_5Y_24M_PRO_149(1M)_DC50%(7M)
GC-X257CMEW,gc-x257cmew,ตู้เย็น InstaView Side by Side 22.4 คิว GC-X257CMEW Smart Inverter Compressor™,ตู้เย็น Side by Side,Visit 6 ปี (72 เดือน) | ไม่มีบริการ,72,1049,บิลแรก ฿149 + โปร 50% เดือน 2-8,Visit 6Y | ทุกๆ24 เดอื น,72,1049,•ราคา 149.-(1รอบบลิ แรก) •ลด 50% 7 เดอื น (รอบบลิ ท ่ี2-8),0,MATCH,Price list_Aug_V3.pdf,8,high,PDF policy: VISIT_6Y_24M_PRO_149(1M)_DC50%(7M)
GC-J257SQZW,gc-j257sqzw,ตู้เย็น Side by Side GC-J257SQZW 22.4 คิว,ตู้เย็น Side by Side,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,1049,บิลแรก ฿149 + โปร 50% เดือน 2-3,Visit 5Y | ทุกๆ24 เดอื น,60,1049,•ราคา 149.-(1รอบบลิ แรก) •ลด 50% 2 เดอื น (รอบบลิ ท ่ี2-3),0,MATCH,Price list_Aug_V3.pdf,8,high,PDF policy: VISIT_5Y_24M_PRO_149(1M)_DC50%(2M)
GC-J257SQZW,gc-j257sqzw,ตู้เย็น Side by Side GC-J257SQZW 22.4 คิว,ตู้เย็น Side by Side,Visit 6 ปี (72 เดือน) | ไม่มีบริการ,72,899,บิลแรก ฿149 + โปร 50% เดือน 2-3,Visit 6Y | ทุกๆ24 เดอื น,72,899,•ราคา 149.-(1รอบบลิ แรก) •ลด 50%2 เดอื น (รอบบลิ ท ่ี2-3),0,MATCH,Price list_Aug_V3.pdf,8,high,PDF policy: VISIT_6Y_24M_PRO_149(1M)_DC50%(2M)
GV-B25FFGDB,gv-b25ffgdb,ตู้เย็น Multi-Door GV-B25FFGDB ขนาด 21.6 คิว ระบบ Smart Inverter Compressor,ตู้เย็น Multi-Door,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,699,บิลแรก ฿149,Visit 5Y | ทุกๆ24 เดอื น,60,699,Promotion Aug 149 (1st Billing),0,MATCH,Sale Price8 - Subscription_V3.pdf,2,high,PDF policy: VISIT_5Y_24M
GV-B25FFGDB,gv-b25ffgdb,ตู้เย็น Multi-Door GV-B25FFGDB ขนาด 21.6 คิว ระบบ Smart Inverter Compressor,ตู้เย็น Multi-Door,Visit 6 ปี (72 เดือน) | ไม่มีบริการ,72,599,บิลแรก ฿149,Visit 6Y | ทุกๆ24 เดอื น,72,599,Promotion Aug 149 (1st Billing),0,MATCH,Sale Price8 - Subscription_V3.pdf,2,high,PDF policy: VISIT_6Y_24M
GC-L24FFCBB + MS2032GAS,gc-l24ffcbb,ตู้เย็น Multi-Door GC-L24FFCBB 22.6 คิว ระบบ Smart Inverter Compressor,ตู้เย็น Multi-Door,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,1249,บิลแรก ฿149 + โปร 50% เดือน 2-3,Visit 5Y | ทุกๆ6 เดอื น,60,1249,•ราคา 149.-(1รอบบลิ แรก) •ลด 50% 2 เดอื น (รอบบลิ ท ่ี2-3) •แถมฟร ีไมโครเวฟ,0,MATCH,Price list_Aug_V3.pdf,6,high,PDF policy: VISIT_5Y_6M_PRO_149(1M)_DC50%(2M)_FREE_GIFT_ ADD_WATERFILTER
GC-L24FFCBB + MS2032GAS,gc-l24ffcbb,ตู้เย็น Multi-Door GC-L24FFCBB 22.6 คิว ระบบ Smart Inverter Compressor,ตู้เย็น Multi-Door,Visit 6 ปี (72 เดือน) | ไม่มีบริการ,72,1049,บิลแรก ฿149 + โปร 50% เดือน 2-3,Visit 6Y | ทุกๆ6 เดอื น,72,1049,•ราคา 149.-(1รอบบลิ แรก) •ลด 50% 2 เดอื น (รอบบลิ ท ่ี2-3) •แถมฟรี ไมโครเวฟ,0,MATCH,Price list_Aug_V3.pdf,6,high,PDF policy: VISIT_6Y_6M_PRO_149(1M)_DC50%(2M)_FREE_GIFT_ ADD_WATERFILTER
GC-G24FFQKB,gc-g24ffqkb,ตู้เย็น InstaView Multi-Door 22.5 คิว GC-G24FFQKB Smart Inverter Compressor,ตู้เย็น Multi-Door,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,1349,บิลแรก ฿149 + โปร 50% เดือน 2-8,Visit 5Y | ทุกๆ24 เดอื น,60,1349,•ราคา 149.-(1รอบบลิ แรก) •ลด 50% 7 เดอื น (รอบบลิ ท ่ี2-8),0,MATCH,Price list_Aug_V3.pdf,9,high,PDF policy: VISIT_5Y_24M_PRO_149(1M)_DC50%(7M)
GC-G24FFQKB,gc-g24ffqkb,ตู้เย็น InstaView Multi-Door 22.5 คิว GC-G24FFQKB Smart Inverter Compressor,ตู้เย็น Multi-Door,Visit 6 ปี (72 เดือน) | ไม่มีบริการ,72,1149,บิลแรก ฿149 + โปร 50% เดือน 2-8,Visit 6Y | ทุกๆ24 เดอื น,72,1149,•ราคา 149.-(1รอบบลิ แรก) •ลด 50% 7 เดอื น (รอบบลิ ท ่ี2-8),0,MATCH,Price list_Aug_V3.pdf,9,high,PDF policy: VISIT_6Y_24M_PRO_149(1M)_DC50%(7M)
GC-V22FFQMB,gc-v22ffqmb,ตู้เย็น InstaView Multi-Door 18.7 คิว GC-V22FFQMB Smart Inverter,ตู้เย็น Multi-Door,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,949,บิลแรก ฿149 + โปร 50% เดือน 2-3,Visit 5Y | ทุกๆ24 เดอื น,60,949,•ราคา 149.-(1รอบบลิ แรก) •ลด 50% 2 เดอื น (รอบบลิ ท ่ี2-3),0,MATCH,Price list_Aug_V3.pdf,9,high,PDF policy: VISIT_5Y_24M_PRO_149(1M)_DC50%(2M)
GC-V22FFQMB,gc-v22ffqmb,ตู้เย็น InstaView Multi-Door 18.7 คิว GC-V22FFQMB Smart Inverter,ตู้เย็น Multi-Door,Visit 6 ปี (72 เดือน) | ไม่มีบริการ,72,799,บิลแรก ฿149 + โปร 50% เดือน 2-3,Visit 6Y | ทุกๆ24 เดอื น,72,799,•ราคา 149.-(1รอบบลิ แรก) •ลด 50% 2 เดอื น (รอบบลิ ท ่ี2-3),0,MATCH,Price list_Aug_V3.pdf,9,high,PDF policy: VISIT_6Y_24M_PRO_149(1M)_DC50%(2M)
GC-B48FPGAM,gc-b48fpgam,ตู้เย็น Multi-Door ขนาด 17.4 คิว ระบบ Inverter Compressor,ตู้เย็น Multi-Door,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,799,บิลแรก ฿149 + โปร 50% เดือน 2-3,Visit 5Y | ทุกๆ24 เดอื น,60,799,•ราคา 149.-(1รอบบลิ แรก) •ลด 50% 2 เดอื น (รอบบลิ ท ่ี2-3),0,MATCH,Price list_Aug_V3.pdf,10,high,PDF policy: VISIT_5Y_24M_PRO_149(1M)_DC50%(2M)
GC-B48FPGAM,gc-b48fpgam,ตู้เย็น Multi-Door ขนาด 17.4 คิว ระบบ Inverter Compressor,ตู้เย็น Multi-Door,Visit 6 ปี (72 เดือน) | ไม่มีบริการ,72,699,บิลแรก ฿149 + โปร 50% เดือน 2-3,Visit 6Y | ทุกๆ24 เดอื น,72,699,•ราคา 149.-(1รอบบลิ แรก) •ลด 50% 2 เดอื น (รอบบลิ ท ่ี2-3),0,MATCH,Price list_Aug_V3.pdf,10,high,PDF policy: VISIT_6Y_24M_PRO_149(1M)_DC50%(2M)
GV-V25FFGRB,gv-v25ffgrb,ตู้เย็น InstaView Multi-Door 21.6 คิว GV-V25FFGRB Smart Inverter Compressor,ตู้เย็น Multi-Door,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,999,บิลแรก ฿149,Visit 5Y | ทุกๆ24 เดอื น,60,999,•ราคา 149.-(1รอบบลิ แรก),0,MATCH,Price list_Aug_V3.pdf,11,high,PDF policy: VISIT_5Y_24M_PRO_149(1M)
GV-V25FFGRB,gv-v25ffgrb,ตู้เย็น InstaView Multi-Door 21.6 คิว GV-V25FFGRB Smart Inverter Compressor,ตู้เย็น Multi-Door,Visit 6 ปี (72 เดือน) | ไม่มีบริการ,72,949,บิลแรก ฿149,Visit 6Y | ทุกๆ24 เดอื น,72,949,•ราคา 149.-(1รอบบลิ แรก),0,MATCH,Price list_Aug_V3.pdf,11,high,PDF policy: VISIT_6Y_24M_PRO_149(1M)
GN-F392PQAK,gn-f392pqak,ตู้เย็น 2 ประตู 13.9 คิว Smart Inverter Compressor,ตู้เย็น 2 ประตู,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,449,โปร 50% เดือน 1-3,Visit 5Y | ทุกๆ24 เดอื น,60,449,Disc.50% (3 รอบบิล),0,MATCH,Sale Price8 - Subscription_V3.pdf,3,high,PDF policy: VISIT_5Y_24M
GN-F392PQAK,gn-f392pqak,ตู้เย็น 2 ประตู 13.9 คิว Smart Inverter Compressor,ตู้เย็น 2 ประตู,Visit 6 ปี (72 เดือน) | ไม่มีบริการ,72,349,โปร 50% เดือน 1-3,Visit 6Y | ทุกๆ24 เดอื น,72,349,Disc.50% (3 รอบบิล),0,MATCH,Sale Price8 - Subscription_V3.pdf,3,high,PDF policy: VISIT_6Y_24M
GN-F452PQAK,gn-f452pqak,ตู้เย็น 2 ประตู ขนาด 16.2 คิว ระบบ Smart Inverter,ตู้เย็น 2 ประตู,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,599,บิลแรก ฿149 + โปร 50% เดือน 2-3,Visit 5Y | ทุกๆ24 เดอื น,60,599,• ราคา 149.-(1รอบบลิ แรก) •ลด 50% 2 เดอื น (รอบบลิ ท ่ี2-3),0,MATCH,Price list_Aug_V3.pdf,12,high,PDF policy: VISIT_5Y_24M_PRO_149(1M)_DC50%(2M)
GN-F452PQAK,gn-f452pqak,ตู้เย็น 2 ประตู ขนาด 16.2 คิว ระบบ Smart Inverter,ตู้เย็น 2 ประตู,Visit 6 ปี (72 เดือน) | ไม่มีบริการ,72,499,บิลแรก ฿149 + โปร 50% เดือน 2-3,Visit 6Y | ทุกๆ24 เดอื น,72,499,• ราคา 149.-(1รอบบลิ แรก) • ลด 50% 2 เดอื น (รอบบลิ ท ่ี2-3),0,MATCH,Price list_Aug_V3.pdf,12,high,PDF policy: VISIT_6Y_24M_PRO_149(1M)_DC50%(2M)
GN-V389FQEF,gn-v389fqef,ตู้เย็น 2 ประตู InstaView 12 คิว ระบบ Smart Inverter,ตู้เย็น 2 ประตู,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,649,บิลแรก ฿149 + โปร 50% เดือน 2-3,Visit 5Y | ทุกๆ24 เดอื น,60,649,• ราคา 149.-(1รอบบลิ แรก) • ลด 50% 2 เดอื น (รอบบลิ ท ่ี2-3),0,MATCH,Price list_Aug_V3.pdf,12,high,PDF policy: VISIT_5Y_24M_PRO_149(1M)_DC50%(2M)
GN-V389FQEF,gn-v389fqef,ตู้เย็น 2 ประตู InstaView 12 คิว ระบบ Smart Inverter,ตู้เย็น 2 ประตู,Visit 6 ปี (72 เดือน) | ไม่มีบริการ,72,549,บิลแรก ฿149 + โปร 50% เดือน 2-3,Visit 6Y | ทุกๆ24 เดอื น,72,549,• ราคา 149.-(1รอบบลิ แรก) • ลด 50% 2 เดอื น (รอบบลิ ท ่ี2-3),0,MATCH,Price list_Aug_V3.pdf,12,high,PDF policy: VISIT_6Y_24M_PRO_149(1M)_DC50%(2M)
WT2520NHEG,wt2520nheg,เครื่องซักอบผ้า LG WashTower 25/20 กก. AI DD™ พร้อม Smart WI-FI control,Wash Tower,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,2399,บิลแรก ฿149 + โปร 50% เดือน 2-12,Visit 5Y | ทุกๆ12 เดอื น,60,2399,•ราคา 149.-(1รอบบลิ แรก) •ลด 50% 11 เดอื น (รอบบลิ ท ่ี2-12),0,MATCH,Price list_Aug_V3.pdf,13,high,PDF policy: VISIT_5Y_12M_PRO_149(1M)_DC50%(11M)
WT2520NHEG,wt2520nheg,เครื่องซักอบผ้า LG WashTower 25/20 กก. AI DD™ พร้อม Smart WI-FI control,Wash Tower,Self 5 ปี (60 เดือน) | ไม่มีบริการ,60,2199,บิลแรก ฿149 + โปร 50% เดือน 2-12,Self 5Y | ทุกๆ12 เดอื น,60,2199,•ราคา 149.-(1รอบบลิ แรก) •ลด 50% 11 เดอื น (รอบบลิ ท ่ี2-12),0,MATCH,Price list_Aug_V3.pdf,13,high,PDF policy: SELF_5Y_12M_PRO_149(1M)_DC50%(11M)
WT2520NHEG,wt2520nheg,เครื่องซักอบผ้า LG WashTower 25/20 กก. AI DD™ พร้อม Smart WI-FI control,Wash Tower,Visit 6 ปี (72 เดือน) | ไม่มีบริการ,72,2199,บิลแรก ฿149 + โปร 50% เดือน 2-12,Visit 6Y | ทุกๆ12 เดอื น,72,2199,•ราคา 149.-(1รอบบลิ แรก) •ลด 50% 11 เดอื น (รอบบลิ ท ่ี2-12),0,MATCH,Price list_Aug_V3.pdf,13,high,PDF policy: VISIT_6Y_12M_PRO_149(1M)_DC50%(11M)
WT2520NHEG,wt2520nheg,เครื่องซักอบผ้า LG WashTower 25/20 กก. AI DD™ พร้อม Smart WI-FI control,Wash Tower,Self 6 ปี (72 เดือน) | ไม่มีบริการ,72,1999,บิลแรก ฿149 + โปร 50% เดือน 2-12,Self 6Y | ทุกๆ12 เดอื น,72,1999,•ราคา 149.-(1รอบบลิ แรก) •ลด 50% 11 เดอื น (รอบบลิ ท ่ี2-12),0,MATCH,Price list_Aug_V3.pdf,13,high,PDF policy: SELF_6Y_12M_PRO_149(1M)_DC50%(11M)
WT2116SHEG,wt2116sheg,เครื่องซักอบผ้า LG WashTower 21/16 กก. AI DD™ พร้อม Smart WI-FI control,Wash Tower,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,1999,บิลแรก ฿149 + โปร 50% เดือน 2-12,Visit 5Y | ทุกๆ12 เดอื น,60,1999,•ราคา 149.-(1รอบบลิ แรก) •ลด 50% 11 เดอื น (รอบบลิ ท ่ี2-12),0,MATCH,Price list_Aug_V3.pdf,15,high,PDF policy: VISIT_5Y_12M_PRO_149(1M)_DC50%(11M)
WT2116SHEG,wt2116sheg,เครื่องซักอบผ้า LG WashTower 21/16 กก. AI DD™ พร้อม Smart WI-FI control,Wash Tower,Self 5 ปี (60 เดือน) | ไม่มีบริการ,60,1899,บิลแรก ฿149 + โปร 50% เดือน 2-12,Self 5Y | ทุกๆ12 เดอื น,60,1899,•ราคา 149.-(1รอบบลิ แรก) •ลด 50% 11 เดอื น (รอบบลิ ท ่ี2-12),0,MATCH,Price list_Aug_V3.pdf,15,high,PDF policy: SELF_5Y_12M_PRO_149(1M)_DC50%(11M)
